ad_id,ad_name,ad_set_id,campaign_id,account_id,_fivetran_synced
3001,Ad Creative 1,2001,1001,101,2024-10-30 12:00:00
3002,Ad Creative 2,2001,1001,101,2024-10-30 12:00:00
3003,Ad Creative 3,2001,1001,101,2024-10-30 12:00:00
3004,Ad Creative 4,2001,1001,101,2024-10-30 12:00:00
3005,Ad Creative 1,2002,1001,101,2024-10-30 12:00:00
3006,Ad Creative 2,2002,1001,101,2024-10-30 12:00:00
3007,Ad Creative 1,2003,1001,101,2024-10-30 12:00:00
3008,Ad Creative 2,2003,1001,101,2024-10-30 12:00:00
3009,Ad Creative 3,2003,1001,101,2024-10-30 12:00:00
3010,Ad Creative 1,2004,1002,101,2024-10-30 12:00:00
3011,Ad Creative 2,2004,1002,101,2024-10-30 12:00:00
3012,Ad Creative 3,2004,1002,101,2024-10-30 12:00:00
3013,Ad Creative 1,2005,1002,101,2024-10-30 12:00:00
3014,Ad Creative 2,2005,1002,101,2024-10-30 12:00:00
3015,Ad Creative 3,2005,1002,101,2024-10-30 12:00:00
3016,Ad Creative 4,2005,1002,101,2024-10-30 12:00:00
3017,Ad Creative 1,2006,1002,101,2024-10-30 12:00:00
3018,Ad Creative 2,2006,1002,101,2024-10-30 12:00:00
3019,Ad Creative 3,2006,1002,101,2024-10-30 12:00:00
3020,Ad Creative 4,2006,1002,101,2024-10-30 12:00:00
3021,Ad Creative 1,2007,1003,101,2024-10-30 12:00:00
3022,Ad Creative 2,2007,1003,101,2024-10-30 12:00:00
3023,Ad Creative 1,2008,1003,101,2024-10-30 12:00:00
3024,Ad Creative 2,2008,1003,101,2024-10-30 12:00:00
3025,Ad Creative 3,2008,1003,101,2024-10-30 12:00:00
3026,Ad Creative 1,2009,1004,101,2024-10-30 12:00:00
3027,Ad Creative 2,2009,1004,101,2024-10-30 12:00:00
3028,Ad Creative 3,2009,1004,101,2024-10-30 12:00:00
3029,Ad Creative 1,2010,1004,101,2024-10-30 12:00:00
3030,Ad Creative 2,2010,1004,101,2024-10-30 12:00:00
