campaign_id,campaign_name,account_id,date,spend,impressions,inline_link_clicks
1001,Brand Awareness Q4,101,2024-09-01,61.25,5506,175
1001,Brand Awareness Q4,101,2024-09-02,381.41,9935,94
1001,Brand Awareness Q4,101,2024-09-03,64.3,2535,161
1001,Brand Awareness Q4,101,2024-09-04,320.91,4257,416
1001,Brand Awareness Q4,101,2024-09-05,295.22,4611,279
1001,Brand Awareness Q4,101,2024-09-06,414.24,1106,438
1001,Brand Awareness Q4,101,2024-09-07,364.16,6574,192
1001,Brand Awareness Q4,101,2024-09-08,480.75,6514,102
1001,Brand Awareness Q4,101,2024-09-09,93.52,6635,359
1001,Brand Awareness Q4,101,2024-09-10,69.55,8527,324
1001,Brand Awareness Q4,101,2024-09-11,465.03,2291,332
1001,Brand Awareness Q4,101,2024-09-12,332.89,6925,345
1001,Brand Awareness Q4,101,2024-09-13,81.3,4733,445
1001,Brand Awareness Q4,101,2024-09-14,85.91,4814,493
1001,Brand Awareness Q4,101,2024-09-15,175.09,6977,133
1001,Brand Awareness Q4,101,2024-09-16,144.28,5374,409
1001,Brand Awareness Q4,101,2024-09-18,324.11,3803,323
1001,Brand Awareness Q4,101,2024-09-19,123.53,7216,188
1001,Brand Awareness Q4,101,2024-09-21,300.63,6313,481
1001,Brand Awareness Q4,101,2024-09-22,75.17,1525,462
1001,Brand Awareness Q4,101,2024-09-23,170.48,4456,340
1001,Brand Awareness Q4,101,2024-09-25,344.95,7482,379
1001,Brand Awareness Q4,101,2024-09-26,169.2,5040,431
1001,Brand Awareness Q4,101,2024-09-27,168.23,8019,348
1001,Brand Awareness Q4,101,2024-09-28,148.69,3266,310
1001,Brand Awareness Q4,101,2024-09-29,390.1,2796,128
1001,Brand Awareness Q4,101,2024-09-30,406.44,7916,355
1001,Brand Awareness Q4,101,2024-10-01,221.73,8668,320
1001,Brand Awareness Q4,101,2024-10-02,298.95,1188,398
1001,Brand Awareness Q4,101,2024-10-03,356.77,9797,434
1001,Brand Awareness Q4,101,2024-10-04,338.43,2827,200
1001,Brand Awareness Q4,101,2024-10-05,254.18,5315,306
1001,Brand Awareness Q4,101,2024-10-06,278.46,2743,495
1001,Brand Awareness Q4,101,2024-10-07,428.75,9317,361
1001,Brand Awareness Q4,101,2024-10-08,218.26,3646,326
1001,Brand Awareness Q4,101,2024-10-12,269.87,2832,235
1001,Brand Awareness Q4,101,2024-10-14,188.38,1949,173
1001,Brand Awareness Q4,101,2024-10-17,268.7,2133,439
1001,Brand Awareness Q4,101,2024-10-18,106.59,8787,331
1001,Brand Awareness Q4,101,2024-10-19,287.45,7932,158
1001,Brand Awareness Q4,101,2024-10-21,360.44,6107,254
1001,Brand Awareness Q4,101,2024-10-23,247.15,9479,281
1001,Brand Awareness Q4,101,2024-10-24,151.11,6539,60
1001,Brand Awareness Q4,101,2024-10-25,153.55,4608,53
1001,Brand Awareness Q4,101,2024-10-26,334.0,4750,84
1001,Brand Awareness Q4,101,2024-10-29,157.1,8953,159
1001,Brand Awareness Q4,101,2024-10-30,375.51,8744,174
1002,Lead Generation | DE | Form,101,2024-09-01,413.37,4119,98
1002,Lead Generation | DE | Form,101,2024-09-02,243.97,7939,260
1002,Lead Generation | DE | Form,101,2024-09-03,378.08,2612,81
1002,Lead Generation | DE | Form,101,2024-09-04,202.69,2790,177
1002,Lead Generation | DE | Form,101,2024-09-05,291.33,3296,266
1002,Lead Generation | DE | Form,101,2024-09-06,258.18,2235,276
1002,Lead Generation | DE | Form,101,2024-09-07,435.19,2604,75
1002,Lead Generation | DE | Form,101,2024-09-08,293.26,1241,97
1002,Lead Generation | DE | Form,101,2024-09-10,124.84,8956,296
1002,Lead Generation | DE | Form,101,2024-09-11,230.47,1960,134
1002,Lead Generation | DE | Form,101,2024-09-12,493.39,5345,451
1002,Lead Generation | DE | Form,101,2024-09-13,178.36,8973,129
1002,Lead Generation | DE | Form,101,2024-09-14,147.97,1958,346
1002,Lead Generation | DE | Form,101,2024-09-15,77.43,6138,79
1002,Lead Generation | DE | Form,101,2024-09-16,264.55,9701,130
1002,Lead Generation | DE | Form,101,2024-09-17,278.52,4044,85
1002,Lead Generation | DE | Form,101,2024-09-18,353.85,4853,256
1002,Lead Generation | DE | Form,101,2024-09-19,450.63,5033,346
1002,Lead Generation | DE | Form,101,2024-09-20,328.72,7868,386
1002,Lead Generation | DE | Form,101,2024-09-21,285.25,5272,154
1002,Lead Generation | DE | Form,101,2024-09-22,191.38,5351,252
1002,Lead Generation | DE | Form,101,2024-09-23,340.48,8491,211
1002,Lead Generation | DE | Form,101,2024-09-26,329.52,2638,87
1002,Lead Generation | DE | Form,101,2024-09-27,277.65,3170,228
1002,Lead Generation | DE | Form,101,2024-09-30,120.99,9900,410
1002,Lead Generation | DE | Form,101,2024-10-01,492.73,9666,54
1002,Lead Generation | DE | Form,101,2024-10-02,299.57,2697,499
1002,Lead Generation | DE | Form,101,2024-10-03,101.94,2753,430
1002,Lead Generation | DE | Form,101,2024-10-04,172.56,4450,417
1002,Lead Generation | DE | Form,101,2024-10-05,359.37,5325,308
1002,Lead Generation | DE | Form,101,2024-10-06,457.4,1832,97
1002,Lead Generation | DE | Form,101,2024-10-07,423.21,1722,51
1002,Lead Generation | DE | Form,101,2024-10-08,108.87,5291,132
1002,Lead Generation | DE | Form,101,2024-10-09,298.26,8007,337
1002,Lead Generation | DE | Form,101,2024-10-10,83.86,3442,329
1002,Lead Generation | DE | Form,101,2024-10-11,216.15,3426,270
1002,Lead Generation | DE | Form,101,2024-10-12,188.72,1653,233
1002,Lead Generation | DE | Form,101,2024-10-13,162.29,2684,231
1002,Lead Generation | DE | Form,101,2024-10-14,447.86,7658,367
1002,Lead Generation | DE | Form,101,2024-10-15,466.59,4878,492
1002,Lead Generation | DE | Form,101,2024-10-16,409.95,3900,261
1002,Lead Generation | DE | Form,101,2024-10-17,381.45,6442,450
1002,Lead Generation | DE | Form,101,2024-10-19,438.83,5065,186
1002,Lead Generation | DE | Form,101,2024-10-20,365.58,7267,496
1002,Lead Generation | DE | Form,101,2024-10-21,261.81,4269,468
1002,Lead Generation | DE | Form,101,2024-10-23,419.24,4728,164
1002,Lead Generation | DE | Form,101,2024-10-24,136.91,6378,192
1002,Lead Generation | DE | Form,101,2024-10-27,338.67,7548,397
1002,Lead Generation | DE | Form,101,2024-10-29,472.66,2889,499
1003,Retargeting Campaign,101,2024-09-01,483.14,5349,69
1003,Retargeting Campaign,101,2024-09-02,245.55,6139,273
1003,Retargeting Campaign,101,2024-09-03,280.14,7311,345
1003,Retargeting Campaign,101,2024-09-04,69.97,8144,50
1003,Retargeting Campaign,101,2024-09-05,412.93,4228,236
1003,Retargeting Campaign,101,2024-09-06,476.99,6409,369
1003,Retargeting Campaign,101,2024-09-07,431.61,5920,309
1003,Retargeting Campaign,101,2024-09-08,233.78,7592,406
1003,Retargeting Campaign,101,2024-09-09,107.28,7888,390
1003,Retargeting Campaign,101,2024-09-11,456.26,5930,257
1003,Retargeting Campaign,101,2024-09-12,50.18,5700,157
1003,Retargeting Campaign,101,2024-09-13,310.99,6279,288
1003,Retargeting Campaign,101,2024-09-14,354.03,9375,292
1003,Retargeting Campaign,101,2024-09-15,481.92,3780,387
1003,Retargeting Campaign,101,2024-09-16,281.95,6491,97
1003,Retargeting Campaign,101,2024-09-17,388.01,6085,165
1003,Retargeting Campaign,101,2024-09-18,116.31,1757,175
1003,Retargeting Campaign,101,2024-09-20,395.82,8461,262
1003,Retargeting Campaign,101,2024-09-22,373.26,7291,303
1003,Retargeting Campaign,101,2024-09-23,116.41,1090,434
1003,Retargeting Campaign,101,2024-09-26,148.48,9486,287
1003,Retargeting Campaign,101,2024-09-27,162.14,2988,283
1003,Retargeting Campaign,101,2024-09-28,259.09,9702,336
1003,Retargeting Campaign,101,2024-09-29,477.52,8251,363
1003,Retargeting Campaign,101,2024-09-30,451.41,7991,475
1003,Retargeting Campaign,101,2024-10-02,121.62,8777,280
1003,Retargeting Campaign,101,2024-10-03,161.26,5543,442
1003,Retargeting Campaign,101,2024-10-04,268.07,4919,190
1003,Retargeting Campaign,101,2024-10-05,371.1,4841,189
1003,Retargeting Campaign,101,2024-10-06,451.86,2320,120
1003,Retargeting Campaign,101,2024-10-07,222.37,3503,411
1003,Retargeting Campaign,101,2024-10-08,236.69,6421,327
1003,Retargeting Campaign,101,2024-10-09,78.02,7883,249
1003,Retargeting Campaign,101,2024-10-11,362.99,7232,294
1003,Retargeting Campaign,101,2024-10-12,208.29,7389,486
1003,Retargeting Campaign,101,2024-10-14,292.2,9947,459
1003,Retargeting Campaign,101,2024-10-15,149.24,4595,189
1003,Retargeting Campaign,101,2024-10-16,63.06,6507,392
1003,Retargeting Campaign,101,2024-10-17,231.94,3704,480
1003,Retargeting Campaign,101,2024-10-18,107.43,9751,63
1003,Retargeting Campaign,101,2024-10-20,348.35,2375,379
1003,Retargeting Campaign,101,2024-10-21,440.08,3977,75
1003,Retargeting Campaign,101,2024-10-22,197.31,8449,217
1003,Retargeting Campaign,101,2024-10-23,445.84,5558,435
1003,Retargeting Campaign,101,2024-10-25,425.71,8705,59
1003,Retargeting Campaign,101,2024-10-26,73.44,6733,164
1003,Retargeting Campaign,101,2024-10-27,401.55,1659,436
1003,Retargeting Campaign,101,2024-10-28,161.28,1333,368
1003,Retargeting Campaign,101,2024-10-29,106.8,2874,338
1004,Product Launch 2024,101,2024-09-01,165.31,7043,135
1004,Product Launch 2024,101,2024-09-02,483.68,2876,448
