Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project Code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,Week 0 Impressions,Week 1 Impressions,Week 0 eCPM,Week 1 eCPM,Week 0 Revenue,Week 1 Revenue,Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
3/10/2017,,,Doctor Games Inc,DKG0005G,Love in ER Room - Surgery Simulator Romance,GP,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",appab2241b32019431ebb,vz4e27bcf45d114d5fa3,com.doctorkidsgames.lovestoryersurgery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Doctor Games Inc,DKG0005G,Love in ER Room - Surgery Simulator Romance,GP,DFP,Phone,Banner,320x50,/50170743/DKG0005GP-Phone-Banner,,com.doctorkidsgames.lovestoryersurgery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Doctor Games Inc,DKG0005G,Love in ER Room - Surgery Simulator Romance,GP,DFP,Tablet,Banner,728x90,/50170743/DKG0005GP-Tablet-Banner,,com.doctorkidsgames.lovestoryersurgery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Doctor Games Inc,DKG0005A,Love in ER Room - Surgery Simulator Romance,Amazon,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",app097970c7ac0e46b1a3,vz62dc6f354f524f2fb4,com.doctorkidsgames.loveinersugery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Doctor Games Inc,DKG0005A,Love in ER Room - Surgery Simulator Romance,Amazon,DFP,Phone,Banner,320x50,/50170743/DKG0005Amazon-Phone-Banner,,com.doctorkidsgames.loveinersugery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Doctor Games Inc,DKG0005A,Love in ER Room - Surgery Simulator Romance,Amazon,DFP,Tablet,Banner,728x90,/50170743/DKG0005Amazon-Tablet-Banner,,com.doctorkidsgames.loveinersugery,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Shake It Media,SHAKE5001,Snow Cone Maker - Hot Summer Frozen Food,iOS,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",app6b1b724b51a4461dba,vz7b8f7dd013a9448eb8,1211515908,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Shake It Media,SHAKE5001,Snow Cone Maker - Hot Summer Frozen Food,iOS,DFP,Phone,Banner,320x50,/50170743/SHAKE5001iOS-Phone-Banner,,1211515908,Portrait,,,,,,,,,,,,,,,,
3/10/2017,,,Shake It Media,SHAKE5001,Snow Cone Maker - Hot Summer Frozen Food,iOS,DFP,Tablet,Banner,728x90,/50170743/SHAKE5001iOS-Tablet-Banner,,1211515908,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010,High School Dance Makeover,iOS,AdColony Direct,Both,Rewarded Video,"480x320, 1024x768",appc1cf0fe2c08d4fb786,vz9ea5b8fbd5454b3795,641859963,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010,High School Dance Makeover,iOS,DFP,Phone,Banner,320x50,/50170743/BHUG010iOS-Phone-Banner,,641859963,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010,High School Dance Makeover,iOS,DFP,Tablet,Banner,728x90,/50170743/BHUG010iOS-Tablet-Banner,,641859963,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010G,High School Dance Makeover,GP,AdColony Direct,Both,Rewarded Video,"480x320, 1024x768",appa95d836586aa47c0b6,vza5a8ba89dcc64e1fbe,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010G,High School Dance Makeover,GP,DFP,Phone,Banner,320x50,/50170743/BHUG010GP-Phone-Banner,,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010G,High School Dance Makeover,GP,DFP,Tablet,Banner,728x90,/50170743/BHUG010GP-Tablet-Banner,,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,,,,,
3/9/2017,,,Bear Hug Media,BHUG010A,High School Dance Makeover,Amazon,AdColony Direct,Both,Rewarded Video,"480x320, 1024x768",appec8021d6aab04977b4,vzebc7dc8534654c00a7,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,"legacy project, imported to PTS by script.",,,,
3/9/2017,,,Bear Hug Media,BHUG010A,High School Dance Makeover,Amazon,DFP,Phone,Banner,320x50,/50170743/BHUG010Amazon-Phone-Banner,,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,"legacy project, imported to PTS by script.",,,,
3/9/2017,,,Bear Hug Media,BHUG010A,High School Dance Makeover,Amazon,DFP,Tablet,Banner,728x90,/50170743/BHUG010Amazon-Tablet-Banner,,com.bearhugmedia.android_dance,Landscape,,,,,,,,,,,,"legacy project, imported to PTS by script.",,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011,Secret High School 2-Masked Ball Love Diary,iOS,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",appd6e11de33d934368ad,vz655f688c43cf494882,1213271592,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011,Secret High School 2-Masked Ball Love Diary,iOS,DFP,Phone,Banner,320x50,/50170743/BSG0011iOS-Phone-Banner,,1213271592,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011,Secret High School 2-Masked Ball Love Diary,iOS,DFP,Tablet,Banner,728x90,/50170743/BSG0011iOS-Tablet-Banner,,1213271592,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011G,Secret High School 2-Masked Ball Love Diary,GP,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",appb3e02a4bcc1c467a9c,vze9e805a85bb440108a,net.beautysalongames.vampire_ex_boyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011G,Secret High School 2-Masked Ball Love Diary,GP,DFP,Phone,Banner,320x50,/50170743/BSG0011GP-Phone-Banner,,net.beautysalongames.vampire_ex_boyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011G,Secret High School 2-Masked Ball Love Diary,GP,DFP,Tablet,Banner,728x90,/50170743/BSG0011GP-Tablet-Banner,,net.beautysalongames.vampire_ex_boyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011A,Secret High School 2-Masked Ball Love Diary,Amazon,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",app56d39f6284314643bd,vzc57779cf4a7d4327b4,net.beautysalongames.vampire_exboyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011A,Secret High School 2-Masked Ball Love Diary,Amazon,DFP,Phone,Banner,320x50,/50170743/BSG0011Amazon-Phone-Banner,,net.beautysalongames.vampire_exboyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Beauty Salon Games Inc,BSG0011A,Secret High School 2-Masked Ball Love Diary,Amazon,DFP,Tablet,Banner,728x90,/50170743/BSG0011Amazon-Tablet-Banner,,net.beautysalongames.vampire_exboyfriend,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Hug n Hearts,HUGS0240,Romantic Facepaint Vlog Date High School Love,iOS,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",app83f61f1483344e1e89,vzbbc79ba9940f46219f,1213270237,Portrait,,,,,,,,,,,,,,,,
3/9/2017,,,Hug n Hearts,HUGS0240,Romantic Facepaint Vlog Date High School Love,iOS,DFP,Phone,Banner,320x50,/50170743/HUGS0240iOS-Phone-Banner,,1213270237,Portrait,,,,,,,,,,,,,,,,
