opportunity_id,lead_id,account_id,opportunity_created_at,stage_name,amount,close_date
O20001,L10609,A62,2024-11-12 18:00:00,Demo Scheduled,17172.88,2024-12-17 18:00:00
O20002,L10458,A5,2024-10-13 17:00:00,Negotiation,27842.19,2025-02-03 17:00:00
O20003,L10291,A56,2024-10-09 13:00:00,Negotiation,18653.83,2024-12-07 13:00:00
O20004,L10559,A8,2024-10-30 20:00:00,Qualified,39812.6,2024-12-24 20:00:00
O20005,L10169,A78,2024-09-25 22:00:00,Negotiation,35687.35,2024-10-27 22:00:00
O20006,L10686,A62,2024-10-01 21:00:00,Qualified,22420.62,2024-12-18 21:00:00
O20007,L10817,A17,2024-10-30 05:00:00,Negotiation,36560.2,2025-02-07 05:00:00
O20008,L10087,A15,2024-10-06 07:00:00,Negotiation,10309.67,2025-01-22 07:00:00
O20009,L10261,A46,2024-10-11 10:00:00,Demo Scheduled,20440.65,2024-11-17 10:00:00
O20010,L10792,A30,2024-10-07 13:00:00,Qualified,31487.79,2024-12-05 13:00:00
O20011,L10752,A96,2024-10-19 12:00:00,Closed Won,30562.19,2024-11-19 12:00:00
O20012,L10138,A93,2024-10-31 08:00:00,Demo Scheduled,41567.99,2024-12-09 08:00:00
O20013,L10266,A17,2024-10-21 16:00:00,Negotiation,13126.71,2024-11-25 16:00:00
O20014,L10216,A45,2024-09-16 15:00:00,Closed Won,34484.4,2024-11-16 15:00:00
O20015,L10031,A17,2024-10-25 10:00:00,Closed Won,22901.84,2025-02-16 10:00:00
O20016,L10382,A85,2024-09-16 10:00:00,Qualified,8437.0,2024-12-24 10:00:00
O20017,L10248,A64,2024-10-29 03:00:00,Closed Lost,38084.84,2025-01-12 03:00:00
O20018,L10260,A29,2024-10-31 04:00:00,Negotiation,37091.02,2025-01-15 04:00:00
O20019,L10777,A71,2024-10-13 18:00:00,Proposal Sent,44103.69,2024-12-13 18:00:00
O20020,L10545,A35,2024-10-05 06:00:00,Proposal Sent,36399.73,2025-01-07 06:00:00
O20021,L10486,A7,2024-09-14 04:00:00,Proposal Sent,45519.14,2025-01-12 04:00:00
O20022,L10064,A63,2024-10-24 22:00:00,Proposal Sent,8530.07,2024-12-10 22:00:00
O20023,L10211,A67,2024-11-18 13:00:00,Demo Scheduled,18722.26,2025-02-26 13:00:00
O20024,L10650,A16,2024-10-18 15:00:00,Proposal Sent,37620.98,2024-12-05 15:00:00
O20025,L10240,A31,2024-10-20 00:00:00,Closed Lost,24812.48,2025-01-16 00:00:00
O20026,L10452,A3,2024-10-12 07:00:00,Negotiation,42634.63,2024-12-15 07:00:00
O20027,L10110,A76,2024-10-07 16:00:00,Negotiation,18518.58,2024-11-16 16:00:00
O20028,L10513,A36,2024-11-03 03:00:00,Closed Won,22277.13,2024-12-05 03:00:00
O20029,L10721,A49,2024-10-05 06:00:00,Negotiation,24980.89,2024-12-02 06:00:00
O20030,L10343,A49,2024-10-08 13:00:00,Demo Scheduled,34696.66,2025-01-14 13:00:00
O20031,L10384,A85,2024-11-02 04:00:00,Proposal Sent,6408.77,2025-01-15 04:00:00
O20032,L10357,A78,2024-10-18 12:00:00,Proposal Sent,46521.44,2024-12-20 12:00:00
O20033,L10140,A97,2024-11-01 06:00:00,Closed Won,14744.49,2024-12-04 06:00:00
O20034,L10369,A93,2024-09-16 14:00:00,Closed Won,24533.42,2024-12-09 14:00:00
O20035,L10040,A94,2024-10-30 00:00:00,Closed Lost,38858.03,2024-12-12 00:00:00
O20036,L10552,A50,2024-11-02 03:00:00,Closed Lost,46961.27,2025-01-07 03:00:00
O20037,L10482,A69,2024-11-24 08:00:00,Negotiation,24072.58,2025-03-06 08:00:00
O20038,L10818,A67,2024-11-03 16:00:00,Proposal Sent,12314.7,2025-01-20 16:00:00
O20039,L10068,A96,2024-09-18 23:00:00,Demo Scheduled,10934.27,2024-10-19 23:00:00
O20040,L10066,A88,2024-10-03 17:00:00,Proposal Sent,8849.16,2024-12-03 17:00:00
O20041,L10535,A70,2024-10-14 05:00:00,Proposal Sent,20188.96,2025-01-02 05:00:00
O20042,L10683,A79,2024-10-14 14:00:00,Proposal Sent,21276.27,2025-02-05 14:00:00
O20043,L10024,A84,2024-10-25 20:00:00,Closed Won,5555.26,2025-01-02 20:00:00
O20044,L10637,A85,2024-09-22 16:00:00,Proposal Sent,42619.99,2024-11-13 16:00:00
O20045,L10443,A60,2024-11-10 14:00:00,Qualified,24795.92,2025-02-07 14:00:00
O20046,L10067,A46,2024-10-20 12:00:00,Negotiation,33698.44,2025-01-29 12:00:00
O20047,L10784,A53,2024-10-16 20:00:00,Qualified,31080.66,2024-11-25 20:00:00
O20048,L10621,A79,2024-09-19 22:00:00,Closed Won,19131.19,2024-10-27 22:00:00
O20049,L10812,A24,2024-10-26 16:00:00,Proposal Sent,39468.96,2024-12-30 16:00:00
O20050,L10200,A64,2024-10-22 02:00:00,Demo Scheduled,15233.85,2024-12-13 02:00:00
O20051,L10644,A80,2024-09-19 06:00:00,Closed Lost,7231.09,2024-11-02 06:00:00
O20052,L10689,A5,2024-11-12 03:00:00,Demo Scheduled,35799.86,2025-02-06 03:00:00
O20053,L10412,A41,2024-10-07 05:00:00,Qualified,29903.35,2024-12-05 05:00:00
O20054,L10251,A92,2024-10-13 20:00:00,Proposal Sent,48887.7,2024-11-14 20:00:00
O20055,L10544,A46,2024-09-30 09:00:00,Closed Won,37324.37,2025-01-14 09:00:00
O20056,L10540,A45,2024-10-28 21:00:00,Qualified,8486.56,2025-01-22 21:00:00
O20057,L10734,A66,2024-10-19 08:00:00,Qualified,15664.04,2024-12-29 08:00:00
O20058,L10638,A48,2024-10-18 01:00:00,Closed Lost,23718.64,2025-02-07 01:00:00
O20059,L10584,A37,2024-09-30 00:00:00,Demo Scheduled,6111.26,2025-01-15 00:00:00
