campaign_id,campaign_name,date,cost_micros,clicks,impressions
5001,Google Brand Campaign,2024-09-01,493551454,460,12350
5001,Google Brand Campaign,2024-09-02,544977661,205,11857
5001,Google Brand Campaign,2024-09-03,753696627,520,8570
5001,Google Brand Campaign,2024-09-04,701889966,619,6163
5001,Google Brand Campaign,2024-09-05,326837785,638,18974
5001,Google Brand Campaign,2024-09-06,733483441,763,14515
5001,Google Brand Campaign,2024-09-07,157500991,501,13690
5001,Google Brand Campaign,2024-09-09,150853634,216,17510
5001,Google Brand Campaign,2024-09-10,113924341,611,6259
5001,Google Brand Campaign,2024-09-11,630161773,456,8088
5001,Google Brand Campaign,2024-09-12,284405001,217,11373
5001,Google Brand Campaign,2024-09-13,308810527,531,6974
5001,Google Brand Campaign,2024-09-14,359928114,178,12703
5001,Google Brand Campaign,2024-09-15,665736748,437,9386
5001,Google Brand Campaign,2024-09-16,148757534,417,16292
5001,Google Brand Campaign,2024-09-17,160432693,348,12802
5001,Google Brand Campaign,2024-09-18,745723207,465,17283
5001,Google Brand Campaign,2024-09-19,653931084,440,13249
5001,Google Brand Campaign,2024-09-20,552150502,340,16142
5001,Google Brand Campaign,2024-09-21,729209054,661,17427
5001,Google Brand Campaign,2024-09-22,264442052,593,18936
5001,Google Brand Campaign,2024-09-23,333890233,718,15356
5001,Google Brand Campaign,2024-09-24,445913056,450,6734
5001,Google Brand Campaign,2024-09-25,392411104,171,18658
5001,Google Brand Campaign,2024-09-26,297843502,430,14136
5001,Google Brand Campaign,2024-09-27,171692520,744,17108
5001,Google Brand Campaign,2024-09-28,372795694,605,19215
5001,Google Brand Campaign,2024-09-29,292741111,208,18416
5001,Google Brand Campaign,2024-09-30,295632706,292,11648
5001,Google Brand Campaign,2024-10-01,230474972,655,11474
5001,Google Brand Campaign,2024-10-02,742349010,367,10865
5001,Google Brand Campaign,2024-10-03,323240792,668,9123
5001,Google Brand Campaign,2024-10-04,200734184,421,11383
5001,Google Brand Campaign,2024-10-05,156609031,717,8970
5001,Google Brand Campaign,2024-10-06,604973652,712,11552
5001,Google Brand Campaign,2024-10-07,462575670,736,5755
5001,Google Brand Campaign,2024-10-08,560258366,777,10011
5001,Google Brand Campaign,2024-10-09,722013109,651,12615
5001,Google Brand Campaign,2024-10-10,398033261,132,14214
5001,Google Brand Campaign,2024-10-12,288808900,210,12551
5001,Google Brand Campaign,2024-10-13,302059403,436,15663
5001,Google Brand Campaign,2024-10-16,645699513,165,6090
5001,Google Brand Campaign,2024-10-17,331705571,736,12708
5001,Google Brand Campaign,2024-10-18,560412262,563,5471
5001,Google Brand Campaign,2024-10-19,246120626,223,12845
5001,Google Brand Campaign,2024-10-20,415394753,111,16572
5001,Google Brand Campaign,2024-10-22,798422076,275,15589
5001,Google Brand Campaign,2024-10-23,390310623,196,16277
5001,Google Brand Campaign,2024-10-24,346460385,162,11746
5001,Google Brand Campaign,2024-10-25,363747018,289,17017
5001,Google Brand Campaign,2024-10-26,435728204,415,19774
5001,Google Brand Campaign,2024-10-27,684414201,202,15630
5001,Google Brand Campaign,2024-10-28,411588366,374,7755
5001,Google Brand Campaign,2024-10-29,693507469,377,7544
5001,Google Brand Campaign,2024-10-30,133089860,261,16356
5002,Google Search Prospecting,2024-09-01,470722983,682,8774
5002,Google Search Prospecting,2024-09-02,780907829,748,15380
5002,Google Search Prospecting,2024-09-03,239056278,235,14031
5002,Google Search Prospecting,2024-09-04,152781191,306,7587
5002,Google Search Prospecting,2024-09-05,150064782,760,15829
5002,Google Search Prospecting,2024-09-06,387044869,672,10564
5002,Google Search Prospecting,2024-09-07,238317144,360,18190
5002,Google Search Prospecting,2024-09-08,597229046,225,7371
5002,Google Search Prospecting,2024-09-09,194889047,402,10483
5002,Google Search Prospecting,2024-09-10,147991869,439,16090
5002,Google Search Prospecting,2024-09-12,789899897,123,16575
5002,Google Search Prospecting,2024-09-16,508132856,144,9719
5002,Google Search Prospecting,2024-09-17,286296903,286,9295
5002,Google Search Prospecting,2024-09-18,485056881,407,19522
5002,Google Search Prospecting,2024-09-19,584424185,508,16347
5002,Google Search Prospecting,2024-09-22,722310501,123,9213
5002,Google Search Prospecting,2024-09-23,781358254,614,16938
5002,Google Search Prospecting,2024-09-24,454852364,546,11424
5002,Google Search Prospecting,2024-09-26,137878567,196,19755
5002,Google Search Prospecting,2024-09-27,773241474,462,12068
5002,Google Search Prospecting,2024-09-28,336821900,627,14156
5002,Google Search Prospecting,2024-09-29,646168564,622,12254
5002,Google Search Prospecting,2024-09-30,509006472,455,11972
5002,Google Search Prospecting,2024-10-01,758571408,738,18591
5002,Google Search Prospecting,2024-10-02,321194669,498,15797
5002,Google Search Prospecting,2024-10-04,237414197,241,18817
5002,Google Search Prospecting,2024-10-05,194687089,200,18096
5002,Google Search Prospecting,2024-10-06,307800896,669,11261
5002,Google Search Prospecting,2024-10-07,400048778,593,18610
5002,Google Search Prospecting,2024-10-08,580195079,181,17348
5002,Google Search Prospecting,2024-10-09,116561169,319,13338
5002,Google Search Prospecting,2024-10-10,453552017,224,17450
5002,Google Search Prospecting,2024-10-11,375254733,633,14615
5002,Google Search Prospecting,2024-10-12,446445097,351,14176
5002,Google Search Prospecting,2024-10-13,711536573,396,10046
5002,Google Search Prospecting,2024-10-14,231034347,365,12530
5002,Google Search Prospecting,2024-10-15,151302983,470,8823
5002,Google Search Prospecting,2024-10-16,237595514,674,8921
5002,Google Search Prospecting,2024-10-17,199831937,518,12769
5002,Google Search Prospecting,2024-10-18,160446779,677,10429
5002,Google Search Prospecting,2024-10-19,235393023,773,16962
5002,Google Search Prospecting,2024-10-20,108403679,669,9191
5002,Google Search Prospecting,2024-10-21,655197395,513,18347
5002,Google Search Prospecting,2024-10-22,544391164,439,11225
5002,Google Search Prospecting,2024-10-23,260255670,707,19596
5002,Google Search Prospecting,2024-10-24,674232978,779,8040
5002,Google Search Prospecting,2024-10-25,270564185,638,19847
5002,Google Search Prospecting,2024-10-26,676085398,101,17454
5002,Google Search Prospecting,2024-10-27,665800022,323,7527
5002,Google Search Prospecting,2024-10-28,325129926,142,12156
5002,Google Search Prospecting,2024-10-29,652160162,451,11997
5002,Google Search Prospecting,2024-10-30,420003033,797,18628
5003,Google Display Retargeting,2024-09-01,586990799,513,12495
5003,Google Display Retargeting,2024-09-02,567703891,162,5153
5003,Google Display Retargeting,2024-09-03,340991350,417,10318
5003,Google Display Retargeting,2024-09-05,730417772,565,16080
