month,cost_type,amount,currency,department
2024-09,Conference Sponsorship,3557.71,EUR,Marketing
2024-09,Content Production,1100.04,EUR,Marketing
2024-09,Marketing Tools,2100.12,EUR,Marketing
2024-09,Agency Fees,1892.84,EUR,Marketing
2024-09,Webinar Platform,3945.88,EUR,Marketing
2024-10,Conference Sponsorship,3706.8,EUR,Marketing
2024-10,Content Production,4568.72,EUR,Marketing
2024-10,Marketing Tools,1347.76,EUR,Marketing
2024-10,Agency Fees,2687.69,EUR,Marketing
2024-10,Webinar Platform,1119.19,EUR,Marketing
