Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,Week 0 Impressions,Week 1 Impressions,Week 0 eCPM,Week 1 eCPM,Week 0 Revenue,Week 1 Revenue,Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
9/19/2016,V1.0,11/25/2015,App Labs Inc.,ALABS0007,Colorjoy - Adult Coloring Book for Christmas,iOS,AdColony,Both,Rewarded Video,,appd3123ee2f1874b47bc,vz54ca9d994c6d408bb0,1057121795,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
9/19/2016,V1.0,11/25/2015,App Labs Inc.,ALABS0007,Colorjoy - Adult Coloring Book for Christmas,iOS,Fyber,Both,Rewarded Video,,55357,17e8917d9aeeb59c734afa8b9f9cbdc8,1057121795,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
9/19/2016,V1.0,11/25/2015,App Labs Inc.,ALABS0007,Colorjoy - Adult Coloring Book for Christmas,iOS,Mopub,Phone,Interstitial,,89b516152af842f7a601d717a475c742,,1057121795,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
9/19/2016,V1.0,11/25/2015,App Labs Inc.,ALABS0007,Colorjoy - Adult Coloring Book for Christmas,iOS,Mopub,Tablet,Interstitial,,bad2a374efe54caea4a87fd982a586b0,,1057121795,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
9/18/2016,V1.7,11/22/2015,App Labs Inc.,ALABS0007G,Colorjoy: Christmas Color Book,GP,AdColony,Both,Rewarded Video,,appc343cdf7db9849cba5,vz289aeaf6f3a04224ac,net.applabsinc.android_christmascoloring,Portrait,,,,,,,,,,,,,,,,
9/18/2016,V1.7,11/22/2015,App Labs Inc.,ALABS0007G,Colorjoy: Christmas Color Book,GP,Fyber,Both,Rewarded Video,,54935,0d5687a9890f731efff586ae19e84a6a,net.applabsinc.android_christmascoloring,Portrait,,,,,,,,,,,,,,,,
9/18/2016,V1.7,11/22/2015,App Labs Inc.,ALABS0007G,Colorjoy: Christmas Color Book,GP,Mopub,Phone,Interstitial,,14d1775789ed465d861986132301563a,,net.applabsinc.android_christmascoloring,Portrait,,,,,,,,,,,,,,,,
9/18/2016,V1.7,11/22/2015,App Labs Inc.,ALABS0007G,Colorjoy: Christmas Color Book,GP,Mopub,Tablet,Interstitial,,3ebd1f3095464ffca56553a3bff7ea88,,net.applabsinc.android_christmascoloring,Portrait,,,,,,,,,,,,,,,,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,AdColony,Both,Rewarded Video,"320x480, 768x1024",appa24766eca8d54e4daf,vzdec2656b53cd402491,net.applabsinc.android_mysterygallery,Portrait,0,0,$0.00,$0.00,$0.00,$0.00,"5,785","16,408",,,,,,,,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,Admob,Phone,Interstitial,320x480,ca-app-pub-2338641293842741/7414189516,,net.applabsinc.android_mysterygallery,Portrait,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,"5,785","16,408",,,,,9/30/2015,N/A,N/A,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,Admob,Tablet,Interstitial,768x1024,ca-app-pub-2338641293842741/8890922718,,net.applabsinc.android_mysterygallery,Portrait,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,"5,785","16,408",,,,,9/30/2015,N/A,N/A,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,Fyber,Both,Rewarded Video,"320x480, 768x1024",47671,5856fea8ca1cd47b1c053e8e49489570,net.applabsinc.android_mysterygallery,Portrait,0,0,$0.00,$0.00,$0.00,$0.00,"5,785","16,408",,,,,,,,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,Mopub,Phone,Interstitial,320x480,200dac5a11874989b9f13ceb02680a0c,,net.applabsinc.android_mysterygallery,Portrait,0,0,$0.00,$0.00,$0.00,$0.00,"5,785","16,408",,,,,,,,
8/25/2016,V1.6,9/21/2015,App Labs Inc.,ALABS0006G,Colorfy ME: Free Coloring Book,GP,Mopub,Tablet,Interstitial,320x480,2f1f36508f5445558f65097bd3addd2c,,net.applabsinc.android_mysterygallery,Portrait,0,0,$0.00,$0.00,$0.00,$0.00,"5,785","16,408",,,,,,,,
