Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue",Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
3/15/2017,,,Beauty Inc.,BTI970G,Fashion Doctor 2,GP,DFP,Phone,Banner,320x50,/202162408/BTI970GP-Phone-Banner,,net.beautyincorporated.android_fashiondoctor2,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI970G,Fashion Doctor 2,GP,DFP,Phone,Interstitial,320x480,/202162408/BTI970GP-Phone-Interstitial,,net.beautyincorporated.android_fashiondoctor2,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI970G,Fashion Doctor 2,GP,DFP,Tablet,Banner,728x90,/202162408/BTI970GP-Tablet-Banner,,net.beautyincorporated.android_fashiondoctor2,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI970G,Fashion Doctor 2,GP,DFP,Tablet,Interstitial,768x1024,/202162408/BTI970GP-Tablet-Interstitial,,net.beautyincorporated.android_fashiondoctor2,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI999G,Athlete Salon,GP,DFP,Phone,Banner,320x50,/202162408/BTI999GP-Phone-Banner,,net.beautyincorporated.android_athletemakeup,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI999G,Athlete Salon,GP,DFP,Phone,Interstitial,320x480,/202162408/BTI999GP-Phone-Interstitial,,net.beautyincorporated.android_athletemakeup,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI999G,Athlete Salon,GP,DFP,Tablet,Banner,728x90,/202162408/BTI999GP-Tablet-Banner,,net.beautyincorporated.android_athletemakeup,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Beauty Inc.,BTI999G,Athlete Salon,GP,DFP,Tablet,Interstitial,768x1024,/202162408/BTI999GP-Tablet-Interstitial,,net.beautyincorporated.android_athletemakeup,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Kids Media Inc,KMI832R,Surgery Doctor,iOS,AdColony Direct,Both,Rewarded Video,"320x480, 768x1024",app5c24599d43eb44cb83,vz3198e9a961d4456d8f,1215496782,Portrait,,,,,,,,,,,,,,,,
3/15/2017,,,Kids Media Inc,KMI832R,Surgery Doctor,iOS,DFP,Phone,Banner,320x50,/202162408/KMI832RiOS-Phone-Banner,,1215496782,Portrait,,,,,,,,,,,,,,,,
