"city","year","ad_id_request_update_date","app_latest_version","app_live_date","studio_name","project_code","app_name","platform","ad_network","device","ad_unit_type","ad_size","ad_unit_id","store_id_bundle_id","app_orientation","impressions_week0","impressions_week1","revenue_week0","revenue_week1","sessions_week0","sessions_week1","comment"
CD,2017,2017-03-10,,,Doctor Games Inc,DKG0005G,Love in ER Room - Surgery Simulator Romance,Google Play,DFP,Phone,Banner,"320x50",/50170743/DKG0005GP-Phone-Banner,com.doctorkidsgames.lovestoryersurgery,Portrait,,,,,,,
CD,2017,2017-03-10,,,Doctor Games Inc,DKG0005G,Love in ER Room - Surgery Simulator Romance,Google Play,DFP,Tablet,Banner,"728x90",/50170743/DKG0005GP-Tablet-Banner,com.doctorkidsgames.lovestoryersurgery,Portrait,,,,,,,
CD,2017,2017-03-10,,,Doctor Games Inc,DKG0005A,Love in ER Room - Surgery Simulator Romance,Amazon,DFP,Phone,Banner,"320x50",/50170743/DKG0005Amazon-Phone-Banner,com.doctorkidsgames.loveinersugery,Portrait,,,,,,,
CD,2017,2017-03-10,,,Doctor Games Inc,DKG0005A,Love in ER Room - Surgery Simulator Romance,Amazon,DFP,Tablet,Banner,"728x90",/50170743/DKG0005Amazon-Tablet-Banner,com.doctorkidsgames.loveinersugery,Portrait,,,,,,,
CD,2017,2017-03-10,,,Shake It Media,SHAKE5001,Snow Cone Maker - Hot Summer Frozen Food,iOS,DFP,Phone,Banner,"320x50",/50170743/SHAKE5001iOS-Phone-Banner,"1211515908",Portrait,,,,,,,
CD,2017,2017-03-10,,,Shake It Media,SHAKE5001,Snow Cone Maker - Hot Summer Frozen Food,iOS,DFP,Tablet,Banner,"728x90",/50170743/SHAKE5001iOS-Tablet-Banner,"1211515908",Portrait,,,,,,,
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010,High School Dance Makeover,iOS,DFP,Phone,Banner,"320x50",/50170743/BHUG010iOS-Phone-Banner,"641859963",Landscape,,,,,,,
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010,High School Dance Makeover,iOS,DFP,Tablet,Banner,"728x90",/50170743/BHUG010iOS-Tablet-Banner,"641859963",Landscape,,,,,,,
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010G,High School Dance Makeover,Google Play,DFP,Phone,Banner,"320x50",/50170743/BHUG010GP-Phone-Banner,com.bearhugmedia.android_dance,Landscape,,,,,,,
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010G,High School Dance Makeover,Google Play,DFP,Tablet,Banner,"728x90",/50170743/BHUG010GP-Tablet-Banner,com.bearhugmedia.android_dance,Landscape,,,,,,,
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010A,High School Dance Makeover,Amazon,DFP,Phone,Banner,"320x50",/50170743/BHUG010Amazon-Phone-Banner,com.bearhugmedia.android_dance,Landscape,,,,,,,"legacy project, imported to PTS by script."
CD,2017,2017-03-09,,,Bear Hug Media,BHUG010A,High School Dance Makeover,Amazon,DFP,Tablet,Banner,"728x90",/50170743/BHUG010Amazon-Tablet-Banner,com.bearhugmedia.android_dance,Landscape,,,,,,,"legacy project, imported to PTS by script."
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011,Secret High School 2-Masked Ball Love Diary,iOS,DFP,Phone,Banner,"320x50",/50170743/BSG0011iOS-Phone-Banner,"1213271592",Portrait,,,,,,,
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011,Secret High School 2-Masked Ball Love Diary,iOS,DFP,Tablet,Banner,"728x90",/50170743/BSG0011iOS-Tablet-Banner,"1213271592",Portrait,,,,,,,
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011G,Secret High School 2-Masked Ball Love Diary,Google Play,DFP,Phone,Banner,"320x50",/50170743/BSG0011GP-Phone-Banner,net.beautysalongames.vampire_ex_boyfriend,Portrait,,,,,,,
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011G,Secret High School 2-Masked Ball Love Diary,Google Play,DFP,Tablet,Banner,"728x90",/50170743/BSG0011GP-Tablet-Banner,net.beautysalongames.vampire_ex_boyfriend,Portrait,,,,,,,
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011A,Secret High School 2-Masked Ball Love Diary,Amazon,DFP,Phone,Banner,"320x50",/50170743/BSG0011Amazon-Phone-Banner,net.beautysalongames.vampire_exboyfriend,Portrait,,,,,,,
CD,2017,2017-03-09,,,Beauty Salon Games Inc,BSG0011A,Secret High School 2-Masked Ball Love Diary,Amazon,DFP,Tablet,Banner,"728x90",/50170743/BSG0011Amazon-Tablet-Banner,net.beautysalongames.vampire_exboyfriend,Portrait,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240,Romantic Facepaint Vlog Date High School Love,iOS,DFP,Phone,Banner,"320x50",/50170743/HUGS0240iOS-Phone-Banner,"1213270237",Portrait,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240,Romantic Facepaint Vlog Date High School Love,iOS,DFP,Tablet,Banner,"728x90",/50170743/HUGS0240iOS-Tablet-Banner,"1213270237",Portrait,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240G,Romantic Facepaint Vlog Date High School Love,Google Play,DFP,Phone,Banner,"320x50",/50170743/HUGS0240GP-Phone-Banner,com.hugsnhearts.vlog_love,Portrait,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240G,Romantic Facepaint Vlog Date High School Love,Google Play,DFP,Tablet,Banner,"728x90",/50170743/HUGS0240GP-Tablet-Banner,com.hugsnhearts.vlog_love,Portrait,,,,,,,
CD,2017,2017-02-14,,,Crazy Cats Media,CCATS010,Burrito Maker,iOS,DFP,Tablet,Banner,"728x90",/50170743/CCATS010iOS-Tablet-Banner,"494788869",Landscape,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240A,Romantic Facepaint Vlog Date High School Love,Amazon,DFP,Phone,Banner,"320x50",/50170743/HUGS0240Amazon-Phone-Banner,com.hugsnhearts.vloglove_date,Portrait,,,,,,,
CD,2017,2017-03-09,,,Hug n Hearts,HUGS0240A,Romantic Facepaint Vlog Date High School Love,Amazon,DFP,Tablet,Banner,"728x90",/50170743/HUGS0240Amazon-Tablet-Banner,com.hugsnhearts.vloglove_date,Portrait,,,,,,,
CD,2017,2017-03-09,,,Kids Food Games Inc.,KFOOD032A,Cake Pop Cooking,Amazon,DFP,Phone,Banner,"320x50",/50170743/KFOOD032Amazon-Phone-Banner,com.kidsfoodinc.kids_cakepop_cooking_games,Portrait,,,,,,,
CD,2017,2017-03-09,,,Kids Food Games Inc.,KFOOD032A,Cake Pop Cooking,Amazon,DFP,Tablet,Banner,"728x90",/50170743/KFOOD032Amazon-Tablet-Banner,com.kidsfoodinc.kids_cakepop_cooking_games,Portrait,,,,,,,
CD,2017,2017-03-07,V1.0.5.0,2017-03-09,Kids Food Games Inc.,KFOOD007G,Slushy Maker - Frozen Drinks,Google Play,DFP,Phone,Banner,"320x50",/50170743/KFOOD007GP-Phone-Banner,com.kidsfoodinc.android_make_slushy,Landscape,,,,,,,
CD,2017,2017-03-07,V1.0.5.0,2017-03-09,Kids Food Games Inc.,KFOOD007G,Slushy Maker - Frozen Drinks,Google Play,DFP,Tablet,Banner,"728x90",/50170743/KFOOD007GP-Tablet-Banner,com.kidsfoodinc.android_make_slushy,Landscape,,,,,,,
CD,2017,2017-03-06,V1.6,2017-03-09,Bear Hug Media,BHUG1061G,Rapunzel - Magic Hair Salon,Google Play,DFP,Phone,Banner,"320x50",/50170743/BHUG1061GP-Phone-Banner,com.bearhugmedia.android_magichairsalonmakeover,Portrait,,,,,,,
CD,2017,2017-03-06,V1.6,2017-03-09,Bear Hug Media,BHUG1061G,Rapunzel - Magic Hair Salon,Google Play,DFP,Phone,Interstitial,"320x480",/50170743/BHUG1061GP-Phone-Interstitial,com.bearhugmedia.android_magichairsalonmakeover,Portrait,,,,,,,
