Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,Week 0 Impressions,Week 1 Impressions,Week 0 eCPM,Week 1 eCPM,Week 0 Revenue,Week 1 Revenue,Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
Legacy,,,Animal House Ltd,BSG3002G,Girls Night Out,GP,Millennial Media,Phone,Banner,320x50,210971,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG2001G,Florist Salon,GP,Millennial Media,Phone,Banner,320x50,210075,,net.beautysalongames.android_floristsalon,Portrait,,,,,,,,,,,,Ad Network de-actitvated by us,,,,
Legacy,,,Beauty Salon Games Inc,BSG2001G,Florist Salon,GP,Millennial Media,Phone,Interstitial,320x480,210076,,net.beautysalongames.android_floristsalon,Portrait,,,,,,,,,,,,Ad Network de-actitvated by us,,,,
Legacy,,,Beauty Salon Games Inc,BSG2001G,Florist Salon,GP,Millennial Media,Tablet,Banner,728x90,210077,,net.beautysalongames.android_floristsalon,Portrait,,,,,,,,,,,,Ad Network de-actitvated by us,,,,
Legacy,,,Beauty Salon Games Inc,BSG2001G,Florist Salon,GP,Millennial Media,Tablet,Interstitial,768x1024,210078,,net.beautysalongames.android_floristsalon,Portrait,,,,,,,,,,,,Ad Network de-actitvated by us,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Admob,Phone,Banner,320x50,ca-app-pub-8666420151299310/8086280381,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Admob,Phone,Interstitial,320x480,ca-app-pub-8666420151299310/2039746782,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Admob,Tablet,Banner,728x90,ca-app-pub-8666420151299310/9563013580,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Admob,Tablet,Interstitial,768x1024,ca-app-pub-8666420151299310/3516479987,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Millennial Media,Phone,Interstitial,320x480,210972,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Millennial Media,Tablet,Banner,728x90,210973,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Millennial Media,Tablet,Interstitial,768x1024,210974,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Mopub,Phone,Banner,320x50,3ca4445727b341f6b2ef6186700a4e0f,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Mopub,Phone,Interstitial,320x480,956d1e3526dd40d897125753a4ed31a5,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Mopub,Tablet,Banner,728x90,7288bbb9732f4ea9943b4f706ccc122e,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Beauty Salon Games Inc,BSG3002G,Girls Night Out,GP,Mopub,Tablet,Interstitial,768x1024,2f40fb21f06d4f6695babd1f5c4e3c4a,,net.beautysalongames.android_girlsnightout,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Admob,Phone,Banner,320x50,ca-app-pub-7597994417326274/3266612940,,637208128,Landscape,,,,,,,,,,,,Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Admob,Phone,Interstitial,480x320,ca-app-pub-7597994417326274/6220079340,,637208128,Landscape,,,,,,,,,,,,Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Admob,Tablet,Banner,728x90,ca-app-pub-7597994417326274/4743346145,,637208128,Landscape,,,,,,,,,,,,Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Admob,Tablet,Interstitial,1024x768,ca-app-pub-7597994417326274/9173545740,,637208128,Landscape,,,,,,,,,,,,Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Mopub,Phone,Banner,320x50,019f202425984975842b9cb5852ece73,,637208128,Landscape,,,,,,,,,,,,IDs in MLABS; Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Mopub,Phone,Interstitial,480x320,254582d3e9394192801e0d359649f8dd,,637208128,Landscape,,,,,,,,,,,,IDs in MLABS; Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Mopub,Tablet,Banner,728x90,ffb86414a03449359faf61c6f01167a3,,637208128,Landscape,,,,,,,,,,,,IDs in MLABS; Old Project Code: MAKE-ML18,,,,
Legacy,,,Kids Games Inc,MLABS018kgi,(Legacy),iOS,Mopub,Tablet,Interstitial,1024x768,163d903ca9e54289a8d3d00da38bdc79,,637208128,Landscape,,,,,,,,,,,,IDs in MLABS; Old Project Code: MAKE-ML18,,,,
Legacy,,,Tick Tock Apps,TICK092,"10000+ Wallpapers for iOS 8, iOS 7, iPhone, iPod and iPad",iOS,Mopub,Phone,Native,Custom,c1e87ffbfe1e4c539516771e7f338fb0,,466993271,Portrait,,,,,,,,,,,,,,,,
Legacy,,,Tick Tock Apps,TICK092,"10000+ Wallpapers for iOS 8, iOS 7, iPhone, iPod and iPad",iOS,Mopub,Tablet,Native,Custom,7cfa924e1cf64b3897900b8e4059c7f5,,466993271,Portrait,,,,,,,,,,,,,,,,
9/13/2016,V1.0,10/16/2012,Tick Tock Apps,TICK149,"10,000+ Wallpapers HD for iOS 7 and iPhone 5, 5s",iOS,Admob,Phone,Banner,,ca-app-pub-8839748789312099/7717091360,,564093041,Landscape,,,,,,,,,,,,,,,,
9/13/2016,V1.0,10/16/2012,Tick Tock Apps,TICK149,"10,000+ Wallpapers HD for iOS 7 and iPhone 5, 5s",iOS,Admob,Phone,Interstitial,,ca-app-pub-8839748789312099/1670557768,,564093041,Landscape,,,,,,,,,,,,,,,,
9/13/2016,V1.0,10/16/2012,Tick Tock Apps,TICK149,"10,000+ Wallpapers HD for iOS 7 and iPhone 5, 5s",iOS,Mopub,Phone,Banner,,a59b85cae324403c92c2402a3e04793b,,564093041,Landscape,,,,,,,,,,,,,,,,
9/13/2016,V1.0,10/16/2012,Tick Tock Apps,TICK149,"10,000+ Wallpapers HD for iOS 7 and iPhone 5, 5s",iOS,Mopub,Phone,Interstitial,,e43672fd0ce44a9facb86d5115ed784b,,564093041,Landscape,,,,,,,,,,,,,,,,
8/30/2016,V1.0,4/23/2012,Tobi Apps Limited,TOBI001,Hidden Objects⋅,iOS,AdColony,Both,Rewarded Video,,appb466dc2774ef4bd4bc,vz51fec05d5ffe47acbf,517669417,Portrait,,,,,,,,,,,,,,,,
8/30/2016,V1.0,4/23/2012,Tobi Apps Limited,TOBI001,Hidden Objects⋅,iOS,Fyber,Both,Rewarded Video,,48529,57c78a191b32275c6e645bd21d6c27d6,517669417,Portrait,,,,,,,,,,,,,,,,
8/30/2016,V1.0,2/1/2013,Tobi Apps Limited,TOBI001G,Hidden Objects,GP,AdColony,Both,Rewarded Video,,appf14d17ba26a5458c80,vz53e71c9dd2b44c5d97,com.tobiapps.android_hiddenobjects,Portrait,,,,,,,,,,,,,,,,
8/30/2016,V1.0,2/1/2013,Tobi Apps Limited,TOBI001G,Hidden Objects,GP,Admob,Phone,Banner,,ca-app-pub-9603281456195360/1312757939,,com.tobiapps.android_hiddenobjects,Portrait,,,,,,,,,,,,,,,,
8/30/2016,V1.0,2/1/2013,Tobi Apps Limited,TOBI001G,Hidden Objects,GP,Admob,Phone,Interstitial,,ca-app-pub-9603281456195360/5742957534,,com.tobiapps.android_hiddenobjects,Portrait,,,,,,,,,,,,,,,,
