Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue",Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Admob,Phone,Banner,320x50,ca-app-pub-8961013584671357/4108507625,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,Created under PPI,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-8961013584671357/7061974029,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,Created under PPI,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Admob,Tablet,Banner,728x90,ca-app-pub-8961013584671357/5585240822,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,Created under PPI,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-8961013584671357/8538707227,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,Created under PPI,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Mopub,Phone,Banner,320x50,f699b91a6747425daeaaf79ea1a13605,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Mopub,Phone,Interstitial,320x480,f4067105fbe24f1698e0a6f8f660592e,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Mopub,Tablet,Banner,728x90,67a8440ca5fc4c2ca5ec6b8591fe8182,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,,6/15/2015,N/A,N/A,
Not found in any tracker,V1.0,9/10/2014,My Styling Lounge,MSL113,High School Beauty SPA - Hand Salon,iOS,Mopub,Tablet,Interstitial,768x1024,f88300445e8a48e38119cee017dd0d32,,912274306,Portrait,,,#DIV/0!,#DIV/0!,,,"8,660","10,510",,,,,6/15/2015,N/A,N/A,
12/30/2014,V1.0,2/5/2016,iPrincess Entertainment Limited,IPE231,Princess and Prince Story - Royal Beauty Salon,iOS,Admob,Phone,Banner,320x50,ca-app-pub-8961013584671357/7627050429,,955121002,Portrait,217,627,$0.51,$0.18,$0.11,$0.11,"1,559","1,612",,,,,2/17/2016,2/17/2016,N/A,
12/30/2014,V1.0,2/5/2016,iPrincess Entertainment Limited,IPE231,Princess and Prince Story - Royal Beauty Salon,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-8961013584671357/1580516828,,955121002,Portrait,71,204,$0.00,$3.82,$0.00,$0.78,"1,559","1,612",,,,,2/17/2016,2/17/2016,N/A,
12/30/2014,V1.0,2/5/2016,iPrincess Entertainment Limited,IPE231,Princess and Prince Story - Royal Beauty Salon,iOS,Admob,Tablet,Banner,728x90,ca-app-pub-8961013584671357/9103783625,,955121002,Portrait,472,"1,197",$0.13,$0.42,$0.06,$0.50,"1,559","1,612",,,,,2/17/2016,2/17/2016,N/A,
12/30/2014,V1.0,2/5/2016,iPrincess Entertainment Limited,IPE231,Princess and Prince Story - Royal Beauty Salon,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-8961013584671357/3057250026,,955121002,Portrait,131,467,$0.99,$0.96,$0.13,$0.45,"1,559","1,612",,,,,2/17/2016,2/17/2016,N/A,
12/30/2014,V1.0,2/5/2016,iPrincess Entertainment Limited,IPE231,Princess and Prince Story - Royal Beauty Salon,iOS,Mopub,Phone,Banner,320x50,1214a47466e44933a8664ee1655e39f5,,955121002,Portrait,81,266,$1.82,$1.28,$0.15,$0.34,"1,559","1,612",,,,,2/17/2016,N/A,2/17/2016,
