account_id,customer_since,mrr,churn_date
A96,2024-11-19 12:00:00,1588.48,
A45,2024-11-16 15:00:00,2750.97,2025-10-08 15:00:00
A17,2025-02-16 10:00:00,4424.38,2025-11-02 10:00:00
A36,2024-12-05 03:00:00,1601.89,
A97,2024-12-04 06:00:00,814.29,
A93,2024-12-09 14:00:00,3569.11,
A84,2025-01-02 20:00:00,2838.95,
A79,2024-10-27 22:00:00,2233.92,
A46,2025-01-14 09:00:00,4809.09,
A14,2025-01-06 18:00:00,2918.04,
A98,2024-12-19 11:00:00,3231.4,
A99,2025-02-28 13:00:00,3716.44,
A68,2025-01-27 19:00:00,4224.89,
A34,2024-11-16 04:00:00,4227.38,2025-09-05 04:00:00
A21,2024-12-11 14:00:00,679.58,
A95,2024-11-18 17:00:00,4673.25,
A63,2025-02-11 06:00:00,2480.21,
A81,2024-12-17 15:00:00,966.3,
A3,2025-01-07 14:00:00,4062.28,
A29,2025-02-04 03:00:00,2149.09,
A13,2025-01-19 21:00:00,1138.78,
A61,2025-01-17 23:00:00,2671.66,
A48,2024-12-30 22:00:00,3886.26,
A60,2025-01-05 21:00:00,1987.98,
A72,2024-11-12 05:00:00,1660.65,
A67,2024-12-28 12:00:00,660.85,
A74,2025-01-21 13:00:00,1797.94,2026-01-13 13:00:00
A12,2024-12-25 04:00:00,2168.83,
A39,2025-01-02 21:00:00,1810.48,
A11,2024-12-27 07:00:00,1212.36,
A16,2025-01-23 01:00:00,2638.78,
A1,2024-12-01 09:00:00,1826.96,
A33,2025-02-13 23:00:00,3627.87,
A8,2025-01-29 20:00:00,4366.16,2025-09-25 20:00:00
A83,2024-12-14 09:00:00,1525.63,
A4,2024-12-17 03:00:00,3124.54,
A89,2025-01-24 21:00:00,3854.56,
A35,2024-12-04 13:00:00,1266.85,
A88,2024-12-06 05:00:00,1201.45,
A55,2024-12-18 00:00:00,1914.33,
A58,2025-02-03 17:00:00,1261.04,
A43,2025-01-07 12:00:00,1289.24,
A5,2025-01-14 20:00:00,564.05,
A19,2025-02-07 13:00:00,4001.06,
A20,2025-01-26 23:00:00,2566.95,
A37,2024-12-23 12:00:00,4578.36,
A41,2024-10-29 00:00:00,4305.86,
