session_id,session_timestamp,utm_campaign,utm_source,utm_medium,page_views,duration_seconds
S100001,2024-09-14 07:32:00,Google Brand Campaign,facebook,organic,4,568
S100002,2024-09-27 07:28:00,Google Brand Campaign,linkedin,cpc,3,442
S100003,2024-09-22 08:09:00,Lead Generation | DE | Form,linkedin,cpc,2,399
S100004,2024-09-07 11:54:00,Retargeting Campaign,organic,email,1,480
S100005,2024-10-05 03:59:00,Product Launch 2024,facebook,organic,5,380
S100006,2024-10-07 06:45:00,Brand Awareness Q4,facebook,,4,306
S100007,2024-09-06 07:55:00,Brand Awareness Q4,direct,email,8,383
S100008,2024-09-11 11:22:00,Lead Generation | DE | Form,,email,2,185
S100009,2024-10-05 23:15:00,Lead Generation | DE | Form,direct,referral,5,580
S100010,2024-09-15 21:20:00,Brand Awareness Q4,google,cpc,6,420
S100011,2024-09-18 02:13:00,Google Brand Campaign,,email,4,521
S100012,2024-09-26 20:29:00,Lead Generation | DE | Form,linkedin,social,4,584
S100013,2024-10-05 08:47:00,Google Brand Campaign,direct,organic,7,380
S100014,2024-09-15 04:32:00,Product Launch 2024,facebook,cpc,2,166
S100015,2024-10-11 05:50:00,,direct,organic,2,404
S100016,2024-09-25 19:29:00,Google Brand Campaign,linkedin,organic,1,127
S100017,2024-10-14 17:48:00,Retargeting Campaign,,email,2,310
S100018,2024-09-28 05:29:00,Brand Awareness Q4,,,5,522
S100019,2024-10-19 05:32:00,Brand Awareness Q4,,email,9,213
S100020,2024-09-10 11:48:00,Lead Generation | DE | Form,organic,organic,1,341
S100021,2024-10-02 00:07:00,Retargeting Campaign,linkedin,social,1,256
S100022,2024-10-27 18:05:00,Brand Awareness Q4,,referral,2,555
S100023,2024-10-20 04:08:00,,direct,organic,3,281
S100024,2024-10-04 19:27:00,Lead Generation | DE | Form,organic,,4,329
S100025,2024-09-26 21:41:00,Retargeting Campaign,direct,organic,8,133
S100026,2024-09-16 07:04:00,Retargeting Campaign,facebook,organic,9,245
S100027,2024-10-08 07:00:00,Brand Awareness Q4,,,1,244
S100028,2024-09-05 01:55:00,Retargeting Campaign,facebook,organic,4,295
S100029,2024-10-13 15:13:00,Google Brand Campaign,google,,10,600
S100030,2024-10-01 07:50:00,Product Launch 2024,direct,social,2,109
S100031,2024-10-13 13:22:00,Product Launch 2024,direct,referral,1,110
S100032,2024-09-04 12:46:00,Retargeting Campaign,facebook,social,4,204
S100033,2024-10-05 14:08:00,Product Launch 2024,google,email,8,265
S100034,2024-10-26 02:28:00,Google Brand Campaign,facebook,cpc,9,25
S100035,2024-09-06 07:10:00,Product Launch 2024,direct,referral,4,420
S100036,2024-10-28 01:10:00,Product Launch 2024,facebook,referral,5,475
S100037,2024-09-19 13:44:00,,organic,,8,168
S100038,2024-09-13 09:13:00,Brand Awareness Q4,organic,,9,72
S100039,2024-10-18 10:03:00,Brand Awareness Q4,organic,referral,9,553
S100040,2024-09-11 01:32:00,Brand Awareness Q4,google,cpc,10,79
S100041,2024-10-14 07:25:00,Brand Awareness Q4,organic,social,10,50
S100042,2024-10-10 02:26:00,,organic,organic,9,333
S100043,2024-10-30 08:13:00,,,email,4,281
S100044,2024-09-26 04:42:00,,linkedin,referral,6,84
S100045,2024-09-01 14:39:00,Google Brand Campaign,facebook,cpc,9,228
S100046,2024-10-03 08:08:00,Retargeting Campaign,facebook,social,6,301
S100047,2024-09-11 14:53:00,Google Brand Campaign,,email,10,551
S100048,2024-09-01 21:52:00,Google Brand Campaign,linkedin,,2,147
S100049,2024-09-17 03:56:00,Brand Awareness Q4,,organic,3,288
S100050,2024-09-19 19:13:00,,linkedin,social,5,527
S100051,2024-10-02 08:57:00,Brand Awareness Q4,facebook,,7,293
S100052,2024-09-03 00:21:00,Lead Generation | DE | Form,,email,3,462
S100053,2024-10-06 22:27:00,Google Brand Campaign,facebook,cpc,2,162
S100054,2024-10-05 01:53:00,Retargeting Campaign,organic,organic,3,450
S100055,2024-09-09 01:19:00,Retargeting Campaign,facebook,email,4,265
S100056,2024-10-13 03:22:00,Google Brand Campaign,direct,organic,3,252
S100057,2024-10-26 05:51:00,Lead Generation | DE | Form,direct,cpc,3,350
S100058,2024-10-21 13:51:00,,,social,5,173
S100059,2024-10-21 22:06:00,Product Launch 2024,facebook,referral,4,214
S100060,2024-10-23 14:22:00,Retargeting Campaign,google,social,1,207
S100061,2024-09-26 10:17:00,Brand Awareness Q4,linkedin,email,9,419
S100062,2024-10-14 17:21:00,Brand Awareness Q4,facebook,email,3,281
S100063,2024-09-03 03:38:00,Product Launch 2024,linkedin,,6,456
S100064,2024-10-09 16:07:00,Product Launch 2024,organic,social,5,55
S100065,2024-10-16 13:00:00,Google Brand Campaign,organic,,4,382
S100066,2024-09-28 02:42:00,Retargeting Campaign,organic,email,2,317
S100067,2024-10-03 09:42:00,Product Launch 2024,linkedin,referral,5,577
S100068,2024-09-09 06:26:00,,direct,,3,592
S100069,2024-09-20 12:35:00,Brand Awareness Q4,linkedin,email,4,450
S100070,2024-10-21 18:38:00,,linkedin,referral,8,462
S100071,2024-10-14 06:32:00,Product Launch 2024,,social,2,300
S100072,2024-10-03 21:40:00,Google Brand Campaign,linkedin,cpc,4,327
S100073,2024-09-15 06:09:00,Brand Awareness Q4,facebook,social,8,84
S100074,2024-09-30 13:56:00,,organic,social,7,516
S100075,2024-09-26 07:09:00,,,cpc,2,445
S100076,2024-09-15 05:51:00,,organic,referral,1,580
S100077,2024-09-16 03:29:00,Lead Generation | DE | Form,direct,,9,582
