ID_COUNTRY,REGION,COUNTRY
123,EMEA,Lithuania
117,EMEA,Latvia
67,EMEA,Estonia
84,EMEA,Greece
175,EMEA,Romania
170,EMEA,Poland
189,EMEA,Slovakia
97,EMEA,Hungary
56,EMEA,Czech Republic
26,AMER,Bolivia
18,APAC,Bangladesh
50,APAC,Cook Islands
115,APAC,Kyrgyzstan
179,AMER,Saint Lucia
211,APAC,Tokelau
149,APAC,Nepal
181,APAC,Samoa
213,AMER,Trinidad and Tobago
22,AMER,Belize
54,AMER,Cuba
87,AMER,Guadeloupe
151,AMER,Netherlands Antilles
60,AMER,Dominican Republic
93,AMER,Haiti
125,APAC,Macao
157,APAC,Niue
99,APAC,India
163,APAC,Palau
0,UNKNOWN,UNKNOWN
32,APAC,Brunei Darussalam
64,AMER,El Salvador
226,APAC,Uzbekistan
88,APAC,Guam
152,APAC,New Caledonia
216,APAC,Turkmenistan
86,AMER,Granada
25,APAC,Bhutan
154,AMER,Nicaragua
218,APAC,Tuvalu
100,APAC,Indonesia
164,AMER,Panama
196,APAC,Sri Lanka
229,AMER,Venezuela
19,AMER,Barbados
51,AMER,Costa Rica
116,APAC,Laos
148,APAC,Nauru
180,AMER,Saint Vincent and The Grenadines
212,APAC,Tonga
61,APAC,Timor-Leste
94,APAC,Heard Island and McDonald Islands
158,APAC,Norfolk Island
59,AMER,Dominica
92,AMER,Guyana
4,APAC,American Samoa
36,APAC,Cambodia
133,APAC,Marshall Islands
165,APAC,Papua New Guinea
230,APAC,Vietnam
167,AMER,Peru
232,AMER,Virgin Islands (U.S.)
130,APAC,Maldives
162,APAC,Pakistan
227,APAC,Vanuatu
8,APAC,Antarctica
40,AMER,Cayman Islands
169,APAC,Pitcairn
46,APAC,Cocos (Keeling) Islands
111,APAC,Kiribati
143,AMER,Montserrat
207,APAC,Tajikistan
243,AMER,Saint Barthélemy
10,AMER,Argentina
75,AMER,French Guiana
107,APAC,Japan
139,APAC,Micronesia
53,EMEA,Croatia
190,EMEA,Slovenia
33,EMEA,Bulgaria
2,EMEA,Albania
126,EMEA,Macedonia
27,EMEA,Bosnia and Herzegovina
