PURCHASE_ID,TIME_RECEIVED,TIME_DELIVERED,END_AMOUNT_WITH_VAT_EUR,DROPOFF_DISTANCE_STRAIGHT_LINE_METRES,DELIVERY_AREA_ID
5f85beff7762a1539ad6faf1,2022-10-13T14:51:43.048Z,2022-10-13T15:18:35.265Z,17.87,735,5d78a7e552dfabd5251dab7b
5f85c08dddf0c9826389f3cd,2022-10-13T14:58:21.078Z,2022-10-13T15:28:09.194Z,17.75,436,5cc1b60b034adf90cd8f14dd
5f85bc2cf49ddea98955ce5f,2022-10-13T14:39:40.153Z,2022-10-13T15:05:15.058Z,25.8,867,5cc1b60b034adf90cd8f14dd
5f855dbf5a93deaf2be5b872,2022-10-13T07:56:47.003Z,2022-10-13T09:05:14.37Z,15.7,252,5db02e5d401d690c836b9ead
5f85be8a8876393ee141ed82,2022-10-13T14:49:46.693Z,2022-10-13T15:14:31.299Z,18.8,857,5db02e5d401d690c836b9ead
5f85c87c33559bfec6dd55ad,2022-10-13T15:32:12.078Z,2022-10-13T15:50:53.514Z,16.4,1192,5db02e5d401d690c836b9ead
5f85d70370eb13f959377d87,2022-10-13T16:34:11.821Z,2022-10-13T17:25:12.598Z,34.4,3687,5db02e5d401d690c836b9ead
5f85850a1372fdb614bfa0f5,2022-10-13T10:44:26.044Z,2022-10-13T11:11:27.911Z,14.9,1034,5db02e5d401d690c836b9ead
5f85d9e4bbb6bbecf11494d0,2022-10-13T16:46:28.119Z,2022-10-13T17:15:00.7Z,31.9,1586,5db02e5d401d690c836b9ead
5f855e5ee6a9070a39a40d99,2022-10-13T07:59:26.773Z,2022-10-13T09:03:50.11Z,30.9,1645,5db02e5d401d690c836b9ead
5f85aab9e2e1e80a10883cec,2022-10-13T13:25:13.607Z,2022-10-13T14:04:04.328Z,13.9,1164,5db02e5d401d690c836b9ead
5f85d5e70f20826b38daf3b1,2022-10-13T16:29:27.133Z,2022-10-13T16:48:06.217Z,14.9,1376,5db02e5d401d690c836b9ead
5f858eb8d706dfe6d75278ed,2022-10-13T11:25:44.53Z,2022-10-13T11:37:38.124Z,16.8,1888,5db02e5d401d690c836b9ead
5f85c1eb82ed4cb5ca98c134,2022-10-13T15:04:11.411Z,2022-10-13T15:27:37.216Z,18.7,1709,5d78a7e552dfabd5251dab7b
5f858abb3392562dc1b1d4b8,2022-10-13T11:08:43.409Z,2022-10-13T11:29:17.97Z,16.8,628,5d78a7e552dfabd5251dab7b
5f85e14612fb1bcb0462771a,2022-10-13T17:17:58.736Z,2022-10-13T17:30:58.769Z,13.9,234,5cc1b60b034adf90cd8f14dd
5f85c42b3359486a7661988b,2022-10-13T15:13:47.77Z,2022-10-13T15:43:53.479Z,30.4,759,5cc1b60b034adf90cd8f14dd
5f85d0b59dc968af31ae6b5b,2022-10-13T16:07:17.767Z,2022-10-13T16:24:56.34Z,18.9,2992,5cc1b60b034adf90cd8f14dd
5f85af201af0db66faa886de,2022-10-13T13:44:00.457Z,2022-10-13T14:23:48.613Z,18.9,2978,5cc1b60b034adf90cd8f14dd
5f859b56c01a71f587067ff7,2022-10-13T12:19:34.243Z,2022-10-13T12:54:28.466Z,26.4,882,5cc1b60b034adf90cd8f14dd
5f85bd99cdfc6b323897cd6a,2022-10-13T14:45:45.961Z,2022-10-13T15:15:27.181Z,17.1,2748,5cc1b60b034adf90cd8f14dd
5f858e598c858261191c3bd4,2022-10-13T11:24:09.711Z,2022-10-13T11:58:00.158Z,23.7,1955,5d78a7e552dfabd5251dab7b
5f85c3d81338b418e1feadd2,2022-10-13T15:12:24.884Z,2022-10-13T15:53:19.713Z,47.25,780,5d78a7e552dfabd5251dab7b
5f85a88e14109ad4a5bec578,2022-10-13T13:15:58.147Z,2022-10-13T13:50:28.282Z,41.5,2401,5d78a7e552dfabd5251dab7b
5f85c27229f89404e214959a,2022-10-13T15:06:26.213Z,2022-10-13T16:17:55.926Z,35.3,4916,5cc1b60b034adf90cd8f14dd
5ec9b803cc2c5ea21f7cc184,2022-05-23T23:55:47.237Z,2022-05-24T09:46:45.349Z,48.9,5555,5db02e5d401d690c836b9ead
5f01d4fdd63c70071d39b67f,2022-07-05T13:26:21.347Z,2022-07-05T13:43:45.647Z,23.9,233,5cc1b60b034adf90cd8f14dd
5f018c6c6d71d4daeb51072f,2022-07-05T08:16:44.141Z,2022-07-05T08:33:31.726Z,23.9,482,5cc1b60b034adf90cd8f14dd
5f01a861443ca23890307814,2022-07-05T10:16:01.676Z,2022-07-05T10:52:22.636Z,16.9,1953,5cc1b60b034adf90cd8f14dd
5f01d2431767b73dc6e535fe,2022-07-05T13:14:43.408Z,2022-07-05T13:27:11.622Z,13.9,659,5cc1b60b034adf90cd8f14dd
5f01a59ab6a6f833b7f74655,2022-07-05T10:04:10.855Z,2022-07-05T10:26:04.449Z,28.9,871,5cc1b60b034adf90cd8f14dd
5f019077317fb574a885997c,2022-07-05T08:33:59.959Z,2022-07-05T09:17:34.164Z,15.4,844,5d78a7e552dfabd5251dab7b
5f01ae857991c96f7f584ec9,2022-07-05T10:42:13.287Z,2022-07-05T11:01:02.682Z,13.9,908,5d78a7e552dfabd5251dab7b
5f01946678430a321d24d6d5,2022-07-05T08:50:46.814Z,2022-07-05T09:43:06.272Z,17.3,839,5d78a7e552dfabd5251dab7b
5f01918d4c9e07733fb3fd1b,2022-07-05T08:38:37.516Z,2022-07-05T09:29:06.08Z,21.8,161,5d78a7e552dfabd5251dab7b
5f01d4865c3dd8c827b3c7be,2022-07-05T13:24:22.084Z,2022-07-05T13:42:01.641Z,13.9,522,5d78a7e552dfabd5251dab7b
5f0188ea239ac3df57e026f8,2022-07-05T08:01:46.799Z,2022-07-05T08:31:17.754Z,15.5,1286,5d78a7e552dfabd5251dab7b
5f01ec8d59e4fae337e473c4,2022-07-05T15:06:53.59Z,2022-07-05T15:36:12.437Z,14.2,1198,5d78a7e552dfabd5251dab7b
5f0190886d5c90947bd28b7f,2022-07-05T08:34:16.3Z,2022-07-05T09:19:26.109Z,15.2,278,5d78a7e552dfabd5251dab7b
5f01e07704b1d638d124d77b,2022-07-05T14:15:19.805Z,2022-07-05T14:47:38.142Z,23.3,2346,5d78a7e552dfabd5251dab7b
5f01c5a0edc14f900939c105,2022-07-05T12:20:48.653Z,2022-07-05T12:50:35.331Z,20.5,966,5d78a7e552dfabd5251dab7b
5f01f5cb27a389ff4ce92bce,2022-07-05T15:46:19.411Z,2022-07-05T16:14:52.755Z,22.1,1571,5d78a7e552dfabd5251dab7b
5f01b88fb4bd407ad1d5015d,2022-07-05T11:25:03.192Z,2022-07-05T11:52:22.987Z,18.9,2096,5d78a7e552dfabd5251dab7b
5f01fe9538351c4f666c30a1,2022-07-05T16:23:49.664Z,2022-07-05T17:08:09.064Z,16.3,569,5d78a7e552dfabd5251dab7b
5f01996ff5afc7b10cededd2,2022-07-05T09:12:15.356Z,2022-07-05T09:40:24.281Z,14.8,878,5d78a7e552dfabd5251dab7b
5f02072fb2ec3a29cf6a3e38,2022-07-05T17:00:31.128Z,2022-07-05T17:44:07.313Z,21.7,2833,5d78a7e552dfabd5251dab7b
5f01c57ae50c6ba03785984f,2022-07-05T12:20:10.227Z,2022-07-05T12:43:33.232Z,17.3,1815,5d78a7e552dfabd5251dab7b
5f01eced07c4d01a3209bd1c,2022-07-05T15:08:29.88Z,2022-07-05T15:45:12.49Z,15.9,2121,5d78a7e552dfabd5251dab7b
5f01bc55af8b33b8c5c95528,2022-07-05T11:41:09.39Z,2022-07-05T12:01:39.027Z,17.4,909,5d78a7e552dfabd5251dab7b
5f01d6d18c24a21ea2968fb4,2022-07-05T13:34:09.856Z,2022-07-05T14:01:15.823Z,22.1,1004,5d78a7e552dfabd5251dab7b
5f01ef28083802f62996834d,2022-07-05T15:18:00.961Z,2022-07-05T16:06:10.708Z,30.6,856,5d78a7e552dfabd5251dab7b
5f01eeab00d5a408059fb914,2022-07-05T15:15:55.845Z,2022-07-05T15:32:44.436Z,13.9,101,5d78a7e552dfabd5251dab7b
5f01d0c5fd4bc9e035b3384a,2022-07-05T13:08:21.442Z,2022-07-05T13:44:03.685Z,16.3,1182,5d78a7e552dfabd5251dab7b
5f01954d580fc5cfdc9f9938,2022-07-05T08:54:37.692Z,2022-07-05T09:46:24.365Z,26.3,1047,5d78a7e552dfabd5251dab7b
5f01e8d1f698f843d3edf238,2022-07-05T14:50:57.519Z,2022-07-05T15:24:26.41Z,26,846,5d78a7e552dfabd5251dab7b
5f01e47f23305949ae39dd19,2022-07-05T14:32:31.053Z,2022-07-05T14:44:52.043Z,18,300,5d78a7e552dfabd5251dab7b
5f0189b6fecf45e2e1eb2337,2022-07-05T08:05:10.715Z,2022-07-05T08:43:01.835Z,28.1,1083,5d78a7e552dfabd5251dab7b
5f019780b6a6f833b7f71b63,2022-07-05T09:04:00.983Z,2022-07-05T09:54:40.334Z,20.7,478,5d78a7e552dfabd5251dab7b
5f01bc13cd2c66425275a35a,2022-07-05T11:40:03.627Z,2022-07-05T12:10:01.145Z,15.4,1326,5d78a7e552dfabd5251dab7b
5f0189996fbcbc0fe18403bf,2022-07-05T08:04:41.75Z,2022-07-05T08:32:37.735Z,17.9,1275,5d78a7e552dfabd5251dab7b
5f01f3ee9a30b19bbd5131b6,2022-07-05T15:38:22.896Z,2022-07-05T16:16:36.861Z,24.3,1566,5d78a7e552dfabd5251dab7b
5f01d90432a39587089f88a6,2022-07-05T13:43:32.328Z,2022-07-05T14:05:05.801Z,20.4,1436,5d78a7e552dfabd5251dab7b
5f0201bc849b2e69009fbc26,2022-07-05T16:37:16.733Z,2022-07-05T17:07:45.077Z,13.9,1134,5d78a7e552dfabd5251dab7b
5f019bb257a12d7790aa3714,2022-07-05T09:21:54.637Z,2022-07-05T10:09:40.389Z,20.7,344,5d78a7e552dfabd5251dab7b
5f01f6c06e82ec4ac8e4c62e,2022-07-05T15:50:24.09Z,2022-07-05T16:52:05.299Z,24.7,2660,5d78a7e552dfabd5251dab7b
5f01fbfc6e82ec4ac8e4d6f4,2022-07-05T16:12:44.859Z,2022-07-05T17:19:41.26Z,32.1,1744,5d78a7e552dfabd5251dab7b
5f01b46e00751afe06099978,2022-07-05T11:07:26.773Z,2022-07-05T12:02:01.128Z,18.4,2550,5d78a7e552dfabd5251dab7b
5f0168985629d3eed3b31c2d,2022-07-05T05:43:52.582Z,2022-07-05T08:53:05.856Z,18.9,1636,5d78a7e552dfabd5251dab7b
5f01fa839ab16c6a09779fac,2022-07-05T16:06:27.412Z,2022-07-05T17:47:31.36Z,40.9,4263,5d78a7e552dfabd5251dab7b
5f01eed14aad0093c64a8d28,2022-07-05T15:16:33.495Z,2022-07-05T15:59:06.628Z,20.4,792,5d78a7e552dfabd5251dab7b
5f01dba26b3410b6b4248590,2022-07-05T13:54:42.515Z,2022-07-05T14:54:12.168Z,52.3,3054,5d78a7e552dfabd5251dab7b
5f01c8d306eb6db272510ccd,2022-07-05T12:34:27.522Z,2022-07-05T13:55:53.724Z,29.9,4868,5d78a7e552dfabd5251dab7b
5f01a7771fd28c08d26c5938,2022-07-05T10:12:07.753Z,2022-07-05T10:52:20.605Z,36.8,1174,5d78a7e552dfabd5251dab7b
5f0206908d4fe2aae05114ce,2022-07-05T16:57:52.565Z,2022-07-05T18:18:33.558Z,16.9,1961,5d78a7e552dfabd5251dab7b
5f0204789374ea3a480d1dd6,2022-07-05T16:48:56.162Z,2022-07-05T17:38:03.679Z,49.9,2547,5d78a7e552dfabd5251dab7b
5f01ce637148ed8ca5aa1d0d,2022-07-05T12:58:11.271Z,2022-07-05T13:46:17.679Z,19.9,1226,5d78a7e552dfabd5251dab7b
5f020d5f203786ff45472d90,2022-07-05T17:26:55.588Z,2022-07-05T18:03:39.478Z,28.9,1044,5d78a7e552dfabd5251dab7b
5f01cc29f0cf72abbf6c60b2,2022-07-05T12:48:41.859Z,2022-07-05T13:25:05.55Z,19.9,292,5d78a7e552dfabd5251dab7b
5f01fa1d630c6908be313f22,2022-07-05T16:04:45.373Z,2022-07-05T17:18:01.205Z,22.9,1757,5d78a7e552dfabd5251dab7b
5f01d36bae8efdac71edee4d,2022-07-05T13:19:39.074Z,2022-07-05T13:46:09.657Z,29.4,1041,5d78a7e552dfabd5251dab7b
5f01bfcd8e00db9e43969a18,2022-07-05T11:55:57.503Z,2022-07-05T12:42:01.267Z,49.2,448,5d78a7e552dfabd5251dab7b
5f01b294580d26c57dd4ebff,2022-07-05T10:59:32.699Z,2022-07-05T11:33:42.999Z,17.3,2426,5d78a7e552dfabd5251dab7b
5f01f0b63124fa7531ad1567,2022-07-05T15:24:38.026Z,2022-07-05T16:15:16.744Z,15.4,388,5d78a7e552dfabd5251dab7b
5f019d0c5967135a88969e9d,2022-07-05T09:27:40.341Z,2022-07-05T10:14:30.389Z,47.7,1911,5d78a7e552dfabd5251dab7b
5f01a978ef658f66d8b3e29d,2022-07-05T10:20:40.878Z,2022-07-05T10:57:48.644Z,21.4,780,5d78a7e552dfabd5251dab7b
5f01e23b5741ff8b05e47054,2022-07-05T14:22:51.493Z,2022-07-05T14:45:26.019Z,23.7,733,5d78a7e552dfabd5251dab7b
5f0206713778463ba6841cd1,2022-07-05T16:57:21.739Z,2022-07-05T17:30:51.249Z,14.9,1653,5d78a7e552dfabd5251dab7b
5f01c7844a66d2626be03467,2022-07-05T12:28:52.182Z,2022-07-05T13:22:19.529Z,58.2,2213,5d78a7e552dfabd5251dab7b
5f01f36d41c6df1faf39d9c9,2022-07-05T15:36:13.705Z,2022-07-05T16:43:36.947Z,57.4,567,5d78a7e552dfabd5251dab7b
5f01b1ed6bdd1d7661eb38bf,2022-07-05T10:56:45.088Z,2022-07-05T11:41:48.934Z,50.7,1248,5d78a7e552dfabd5251dab7b
5f0203f595ac06ce64759776,2022-07-05T16:46:45.465Z,2022-07-05T17:21:39.144Z,20.4,1133,5d78a7e552dfabd5251dab7b
5f01f676d45ea0388daa36f1,2022-07-05T15:49:10.499Z,2022-07-05T16:47:46.949Z,15.4,954,5d78a7e552dfabd5251dab7b
5f019817580fc5cfdc9fa0ab,2022-07-05T09:06:31.64Z,2022-07-05T09:16:54.005Z,16.9,841,5d78a7e552dfabd5251dab7b
5f01e97a8a3d44d6a0245ea6,2022-07-05T14:53:46.88Z,2022-07-05T15:24:26.368Z,23.4,553,5d78a7e552dfabd5251dab7b
5f01bfe39845a1f9ba9fa384,2022-07-05T11:56:19.951Z,2022-07-05T12:26:51.303Z,16.8,685,5d78a7e552dfabd5251dab7b
5f02173d89c134cf3a51be3b,2022-07-05T18:09:01.111Z,2022-07-05T18:47:05.696Z,32.9,1756,5d78a7e552dfabd5251dab7b
5f01c37af389b4c05f30893f,2022-07-05T12:11:38.594Z,2022-07-05T13:15:57.607Z,24.3,1291,5d78a7e552dfabd5251dab7b
5f01a8e103672e849ff8523a,2022-07-05T10:18:09.481Z,2022-07-05T10:46:56.568Z,16.4,511,5d78a7e552dfabd5251dab7b
5f019b7634b408ceb19693c7,2022-07-05T09:20:54.224Z,2022-07-05T10:22:58.485Z,22.3,2156,5d78a7e552dfabd5251dab7b
5f01a3db4deeb5c531fadca0,2022-07-05T09:56:43.739Z,2022-07-05T10:32:04.488Z,33.4,554,5d78a7e552dfabd5251dab7b
5f01eb140f244b4dd5983d92,2022-07-05T15:00:36.846Z,2022-07-05T15:54:02.573Z,110.4,991,5d78a7e552dfabd5251dab7b
5f01f49b5326b10e220fea15,2022-07-05T15:41:15.851Z,2022-07-05T16:43:02.963Z,31.4,1059,5d78a7e552dfabd5251dab7b
5f01b46cf9cd41331f0996c0,2022-07-05T11:07:24.847Z,2022-07-05T12:09:13.153Z,59.2,4919,5d78a7e552dfabd5251dab7b
5f01fc490dd99f9c91bb4f79,2022-07-05T16:14:01.184Z,2022-07-05T16:45:37.125Z,21.8,1821,5d78a7e552dfabd5251dab7b
5f01b835dad5d6812bb3424c,2022-07-05T11:23:33.204Z,2022-07-05T11:54:27.314Z,23.3,863,5d78a7e552dfabd5251dab7b
5f01d5c3d0efbd2deaf82f81,2022-07-05T13:29:39.275Z,2022-07-05T14:08:23.834Z,25.9,1549,5d78a7e552dfabd5251dab7b
5f01a0df9fb65028206c5211,2022-07-05T09:43:59.408Z,2022-07-05T10:26:38.514Z,21.8,1648,5d78a7e552dfabd5251dab7b
5f01bc45c706a5d55d115869,2022-07-05T11:40:53.295Z,2022-07-05T12:37:43.215Z,49.8,3516,5d78a7e552dfabd5251dab7b
5f01dcc9d0efbd2deaf84163,2022-07-05T13:59:37.204Z,2022-07-05T15:01:32.298Z,25.9,3053,5d78a7e552dfabd5251dab7b
5f01c7f5efcd80337c759055,2022-07-05T12:30:45.508Z,2022-07-05T12:49:13.269Z,16.8,610,5d78a7e552dfabd5251dab7b
5f021aad19e75fd9782492c2,2022-07-05T18:23:41.903Z,2022-07-05T18:39:25.69Z,21.9,1137,5d78a7e552dfabd5251dab7b
5f01f6ac4aad0093c64aa50b,2022-07-05T15:50:04.752Z,2022-07-05T17:01:37.098Z,48.7,1958,5d78a7e552dfabd5251dab7b
5f01ec6861816a2c8d208a19,2022-07-05T15:06:16.795Z,2022-07-05T15:58:54.746Z,47.2,1866,5d78a7e552dfabd5251dab7b
5f01d19c8c24a21ea296847d,2022-07-05T13:11:56.607Z,2022-07-05T13:56:59.717Z,14.4,1438,5d78a7e552dfabd5251dab7b
5f01e13d8533421a73b32f8f,2022-07-05T14:18:37.597Z,2022-07-05T14:58:24.101Z,36.7,1238,5d78a7e552dfabd5251dab7b
5f01e9ea1878d32d933094aa,2022-07-05T14:55:38.92Z,2022-07-05T15:58:36.621Z,55.3,6433,5d78a7e552dfabd5251dab7b
5f01a49463490fffc92476a9,2022-07-05T09:59:48.593Z,2022-07-05T10:42:14.668Z,57.7,690,5d78a7e552dfabd5251dab7b
5f0204d427a389ff4ce957d6,2022-07-05T16:50:28.761Z,2022-07-05T17:26:11.244Z,14.4,815,5d78a7e552dfabd5251dab7b
5f01ac96f98b1ffac4e0233a,2022-07-05T10:33:58.981Z,2022-07-05T11:02:48.656Z,36.7,1142,5d78a7e552dfabd5251dab7b
5f01b199a257873e63c5aa2f,2022-07-05T10:55:21.498Z,2022-07-05T11:09:54.706Z,13.9,424,5d78a7e552dfabd5251dab7b
5f01e5486998c7bcd74a9083,2022-07-05T14:35:52.229Z,2022-07-05T15:14:22.339Z,61.9,1062,5d78a7e552dfabd5251dab7b
5f019f781fd28c08d26c4506,2022-07-05T09:38:00.696Z,2022-07-05T10:09:20.475Z,26.3,624,5d78a7e552dfabd5251dab7b
5f01b498a7447326bfebd55f,2022-07-05T11:08:08.316Z,2022-07-05T11:47:34.995Z,20.8,699,5d78a7e552dfabd5251dab7b
5f01f53fa9718d11fdfad841,2022-07-05T15:43:59.337Z,2022-07-05T16:47:03.05Z,14.4,1166,5d78a7e552dfabd5251dab7b
